Date,Ticker,Open,High,Low,Close,Adjusted,Returns,Volume
2023-08-23,XELB,15.5,15.600000381469727,15.0,15.100000381469727,15.100000381469727,-0.025806427001953125,2100
2023-08-24,XELB,14.600000381469727,15.0,13.699999809265137,13.899999618530273,13.899999618530273,-0.07947024719363971,6990
2023-08-25,XELB,13.899999618530273,13.899999618530273,12.399999618530273,13.199999809265137,13.199999809265137,-0.05035969989034805,11680
2023-08-28,XELB,13.300000190734863,13.300000190734863,12.300999641418457,12.600000381469727,12.600000381469727,-0.04545450276251273,2250
2023-08-29,XELB,12.581000328063965,12.687000274658203,12.300000190734863,12.600000381469727,12.600000381469727,0.0,5740
2023-08-30,XELB,12.800000190734863,14.399999618530273,12.699999809265137,14.0,14.0,0.11111107747180649,4120
2023-08-31,XELB,13.600000381469727,14.0,12.899999618530273,13.0,13.0,-0.0714285714285714,6990
2023-09-01,XELB,12.899999618530273,13.852999687194824,12.899999618530273,13.5,13.5,0.03846153846153855,670
2023-09-05,XELB,13.899999618530273,13.899999618530273,12.5,13.100000381469727,13.100000381469727,-0.029629601372612835,1990
2023-09-06,XELB,13.0,13.0,12.5,12.800000190734863,12.800000190734863,-0.022900777251825155,3060
2023-09-07,XELB,12.600000381469727,12.734000205993652,12.310999870300293,12.399999618530273,12.399999618530273,-0.03125004423782163,2790
2023-09-08,XELB,12.880000114440918,12.899999618530273,12.199999809265137,12.199999809265137,12.199999809265137,-0.016129017372408794,680
2023-09-11,XELB,11.5,12.5,11.5,12.399999618530273,12.399999618530273,0.01639342724524062,2100
2023-09-12,XELB,12.899999618530273,13.0,12.800000190734863,12.800000190734863,12.800000190734863,0.03225811165403902,2340
2023-09-13,XELB,12.899999618530273,13.0,12.600000381469727,12.600000381469727,12.600000381469727,-0.015624984866008385,840
2023-09-14,XELB,12.600000381469727,12.60099983215332,12.300999641418457,12.600000381469727,12.600000381469727,0.0,210
2023-09-15,XELB,12.300000190734863,12.800000190734863,11.95199966430664,12.399999618530273,12.399999618530273,-0.015873075943202752,5900
2023-09-18,XELB,12.300000190734863,12.300000190734863,11.600000381469727,11.800000190734863,11.800000190734863,-0.04838705211722627,2200
2023-09-19,XELB,11.902999877929688,11.902999877929688,11.0,11.699999809265137,11.699999809265137,-0.008474608462146094,1310
2023-09-20,XELB,11.300999641418457,11.300999641418457,11.199999809265137,11.199999809265137,11.199999809265137,-0.04273504343171475,680
2023-09-21,XELB,11.100000381469727,11.109999656677246,10.699999809265137,11.0,11.0,-0.017857126131349377,2030
2023-09-22,XELB,11.0,11.00100040435791,10.300000190734863,10.550000190734863,10.550000190734863,-0.04090907356955786,4510
2023-09-25,XELB,10.300000190734863,12.699999809265137,9.755000114440918,11.800000190734863,11.800000190734863,0.11848341018019748,3520
2023-09-26,XELB,12.5,12.5,11.699999809265137,12.0,12.0,0.016949136104436047,940
2023-09-27,XELB,12.0,12.199999809265137,11.866999626159668,12.0,12.0,0.0,1130
2023-09-28,XELB,12.0,12.399999618530273,11.899999618530273,11.949999809265137,11.949999809265137,-0.004166682561238644,520
2023-09-29,XELB,11.899999618530273,11.899999618530273,10.199999809265137,10.5,10.5,-0.12133889810951426,5560
2023-10-02,XELB,11.149999618530273,11.149999618530273,10.60200023651123,10.899999618530273,10.899999618530273,0.03809520176478798,540
2023-10-03,XELB,11.0649995803833,11.100000381469727,9.899999618530273,10.800000190734863,10.800000190734863,-0.00917425975184516,3130
2023-10-04,XELB,10.600000381469727,10.869999885559082,10.0,10.600000381469727,10.600000381469727,-0.018518500530834592,1230
2023-10-05,XELB,10.949999809265137,10.949999809265137,10.100000381469727,10.100000381469727,10.100000381469727,-0.04716980962322126,1240
2023-10-06,XELB,10.100000381469727,10.100000381469727,9.899999618530273,10.0,10.0,-0.00990102749433508,3090
2023-10-09,XELB,10.0,10.199999809265137,9.899999618530273,10.0,10.0,0.0,1030
2023-10-10,XELB,10.227999687194824,10.479999542236328,10.0,10.199999809265137,10.199999809265137,0.019999980926513672,2560
2023-10-11,XELB,10.0,10.149999618530273,9.800000190734863,10.100000381469727,10.100000381469727,-0.009803865653465582,4170
2023-10-12,XELB,9.800999641418457,10.399999618530273,9.300000190734863,9.899999618530273,9.899999618530273,-0.01980205498867016,1070
2023-10-13,XELB,10.550000190734863,10.550000190734863,9.300000190734863,10.199999809265137,10.199999809265137,0.030303050736824266,2670
2023-10-16,XELB,10.098999977111816,10.5,10.097000122070312,10.399999618530273,10.399999618530273,0.01960782480441492,3200
2023-10-17,XELB,10.399999618530273,10.5,9.805999755859375,10.300000190734863,10.300000190734863,-0.009615329948400753,3490
2023-10-18,XELB,10.300000190734863,10.300000190734863,10.199999809265137,10.201000213623047,10.201000213623047,-0.009611648085295132,160
2023-10-19,XELB,10.0,11.0,9.399999618530273,10.199999809265137,10.199999809265137,-9.806924193311861e-05,66860
2023-10-20,XELB,10.100000381469727,10.5,10.0,10.350000381469727,10.350000381469727,0.014705938726424117,2220
2023-10-23,XELB,10.399999618530273,10.699999809265137,10.300000190734863,10.399999618530273,10.399999618530273,0.004830843982388977,1730
2023-10-24,XELB,10.399999618530273,10.600000381469727,10.399999618530273,10.399999618530273,10.399999618530273,0.0,290
2023-10-25,XELB,10.550000190734863,10.892999649047852,10.300000190734863,10.300000190734863,10.300000190734863,-0.009615329948400753,1680
2023-10-26,XELB,10.300000190734863,10.899999618530273,10.300000190734863,10.300000190734863,10.300000190734863,0.0,3610
2023-10-27,XELB,10.399999618530273,11.100000381469727,10.29699993133545,10.29699993133545,10.29699993133545,-0.0002912873149374384,1400
2023-10-30,XELB,10.300000190734863,10.399999618530273,10.199999809265137,10.399999618530273,10.399999618530273,0.010002883158363396,130
2023-10-31,XELB,10.699999809265137,11.0,9.791999816894531,9.899999618530273,9.899999618530273,-0.04807692484037418,8300
2023-11-01,XELB,9.699999809265137,10.482999801635742,8.899999618530273,8.90999984741211,8.90999984741211,-0.09999998073385141,7720
2023-11-02,XELB,9.199999809265137,9.600000381469727,8.5,8.83899974822998,8.83899974822998,-0.007968585903259107,5930
2023-11-03,XELB,8.84000015258789,8.84000015258789,8.503000259399414,8.619999885559082,8.619999885559082,-0.024776543603223122,2680
2023-11-06,XELB,8.50100040435791,9.0,8.50100040435791,8.800000190734863,8.800000190734863,0.020881706214095352,440
2023-11-07,XELB,8.600000381469727,9.505000114440918,8.600000381469727,8.859999656677246,8.859999656677246,0.00681812098203749,3000
2023-11-08,XELB,8.800000190734863,8.897000312805176,8.789999961853027,8.897000312805176,8.897000312805176,0.004176146451658758,630
2023-11-09,XELB,8.817000389099121,9.0,8.817000389099121,9.0,9.0,0.011576900480331442,600
2023-11-10,XELB,8.800000190734863,8.800000190734863,8.79800033569336,8.800000190734863,8.800000190734863,-0.0222222010294596,590
2023-11-13,XELB,8.399999618530273,8.600000381469727,8.399999618530273,8.600000381469727,8.600000381469727,-0.022727250560256596,80
2023-11-14,XELB,8.899999618530273,9.789999961853027,8.899999618530273,9.789999961853027,9.789999961853027,0.13837203809285548,120
2023-11-15,XELB,9.425999641418457,9.425999641418457,9.0,9.097000122070312,9.097000122070312,-0.070786500764352,460
2023-11-16,XELB,9.097999572753906,9.100000381469727,8.5,9.100000381469727,9.100000381469727,0.0003298075584428073,1670
2023-11-17,XELB,9.0,9.0,8.800000190734863,9.0,9.0,-0.010989052448102776,180
2023-11-20,XELB,9.300000190734863,10.449999809265137,9.300000190734863,9.800000190734863,9.800000190734863,0.08888891008165145,3090
2023-11-21,XELB,9.300000190734863,9.401000022888184,8.800000190734863,8.835000038146973,8.835000038146973,-0.09846940140881044,1570
2023-11-22,XELB,9.494000434875488,9.494000434875488,9.00100040435791,9.300000190734863,9.300000190734863,0.052631595990962676,590
2023-11-24,XELB,9.300000190734863,9.395000457763672,9.300000190734863,9.395000457763672,9.395000457763672,0.010215082266713527,110
2023-11-27,XELB,9.300999641418457,10.800000190734863,9.300000190734863,10.0,10.0,0.06439590343355217,2690
2023-11-28,XELB,9.699999809265137,10.463000297546387,9.699999809265137,10.463000297546387,10.463000297546387,0.04630002975463876,60
2023-11-29,XELB,10.899999618530273,10.899999618530273,10.5,10.5,10.5,0.003536242129543732,200
2023-11-30,XELB,10.100000381469727,10.100000381469727,9.199999809265137,9.600000381469727,9.600000381469727,-0.08571424938383554,240
2023-12-01,XELB,10.149999618530273,10.899999618530273,9.951000213623047,10.899999618530273,10.899999618530273,0.13541658181283545,1190
2023-12-04,XELB,10.600000381469727,10.899999618530273,10.399999618530273,10.838000297546387,10.838000297546387,-0.0056880112985037146,2220
2023-12-05,XELB,11.100000381469727,11.100000381469727,10.100000381469727,10.5,10.5,-0.031186592384843004,1210
2023-12-06,XELB,10.899999618530273,11.5,9.800000190734863,11.0,11.0,0.04761904761904767,3030
2023-12-07,XELB,10.600000381469727,11.899999618530273,10.600000381469727,11.5,11.5,0.045454545454545414,5130
2023-12-08,XELB,11.800000190734863,13.5,11.800000190734863,13.0,13.0,0.13043478260869557,9920
2023-12-11,XELB,13.699999809265137,13.800000190734863,11.800000190734863,12.5,12.5,-0.038461538461538436,6550
2023-12-12,XELB,13.100000381469727,14.100000381469727,12.38599967956543,13.399999618530273,13.399999618530273,0.07199996948242182,5960
2023-12-13,XELB,14.100000381469727,14.5,13.505999565124512,13.800000190734863,13.800000190734863,0.029850789820280887,16320
2023-12-14,XELB,13.800000190734863,13.800000190734863,11.956000328063965,13.199999809265137,13.199999809265137,-0.04347828791136965,7650
2023-12-15,XELB,13.572999954223633,13.572999954223633,12.401000022888184,13.0,13.0,-0.015151500920837613,1270
2023-12-18,XELB,12.984999656677246,13.199999809265137,12.699999809265137,12.699999809265137,12.699999809265137,-0.02307693774883568,2770
2023-12-19,XELB,12.5,14.399999618530273,12.5,13.600000381469727,13.600000381469727,0.07086618785206644,8760
2023-12-20,XELB,14.300000190734863,14.600000381469727,13.576000213623047,14.5,14.5,0.0661764406827916,12830
2023-12-21,XELB,14.699999809265137,15.100000381469727,13.600000381469727,13.800000190734863,13.800000190734863,-0.04827584891483705,7170
2023-12-22,XELB,13.925000190734863,14.899999618530273,13.925000190734863,14.399999618530273,14.399999618530273,0.04347821880453617,7220
2023-12-26,XELB,14.451000213623047,14.569000244140625,13.60099983215332,14.25,14.25,-0.01041664045166013,2830
2023-12-27,XELB,14.199999809265137,14.199999809265137,13.0,13.0,13.0,-0.08771929824561409,4320
2023-12-28,XELB,12.899999618530273,14.798999786376953,12.661999702453613,12.920000076293945,12.920000076293945,-0.006153840285081147,4370
2023-12-29,XELB,12.800000190734863,13.399999618530273,12.5,12.899999618530273,12.899999618530273,-0.0015480230375826132,3720
2024-01-02,XELB,12.600000381469727,15.0,12.600000381469727,14.600000381469727,14.600000381469727,0.1317830087760219,9310
2024-01-03,XELB,14.399999618530273,14.89799976348877,13.399999618530273,14.800000190734863,14.800000190734863,0.013698616715036138,3780
2024-01-04,XELB,15.0,15.0,13.842000007629395,14.699999809265137,14.699999809265137,-0.00675678244466027,1340
2024-01-05,XELB,14.774999618530273,14.774999618530273,13.699999809265137,13.937999725341797,13.937999725341797,-0.05183674107553837,1200
2024-01-08,XELB,14.670999526977539,14.699999809265137,12.800999641418457,12.99899959564209,12.99899959564209,-0.06736979108935093,6240
2024-01-09,XELB,13.5,14.0,13.0,13.399999618530273,13.399999618530273,0.03084852953011996,2930
2024-01-10,XELB,14.15999984741211,14.15999984741211,13.199999809265137,13.199999809265137,13.199999809265137,-0.014925359325276832,770
2024-01-11,XELB,13.399999618530273,13.5,12.800000190734863,13.0,13.0,-0.015151500920837613,470
2024-01-12,XELB,12.899999618530273,12.899999618530273,12.300000190734863,12.5,12.5,-0.038461538461538436,1460
2024-01-16,XELB,13.100000381469727,13.899999618530273,12.5,13.899999618530273,13.899999618530273,0.11199996948242186,5100
2024-01-17,XELB,13.100000381469727,13.5,12.5,13.0,13.0,-0.06474817577192393,2740
2024-01-18,XELB,13.244999885559082,13.590999603271484,12.800000190734863,13.0,13.0,0.0,1090
2024-01-19,XELB,13.5,13.699999809265137,13.029000282287598,13.52299976348877,13.52299976348877,0.040230751037597656,1960
2024-01-22,XELB,13.300000190734863,14.468000411987305,13.300000190734863,14.300000190734863,14.300000190734863,0.0574576973183083,6820
2024-01-23,XELB,14.621999740600586,16.9689998626709,14.350000381469727,15.5,15.5,0.08391606945870045,22410
